Name,Points(PPR)
Justin Jefferson,393.74368320383735
Tyreek Hill,372.14698357187984
Davante Adams,331.70835911381675
Stefon Diggs,313.4745787549092
Ceedee Lamb,300.8560912546193
AJ Brown,323.3393943363286
Amon-Ra St. Brown,262.2633574498852
Jaylen Waddle,292.43297400813367
Devonta Smith,263.56170105581214
Amari Cooper,254.15705220650787
JaMarr Chase,314.3250872416866
Christian Kirk,244.92863731392853
Tyler Lockett,229.01525569199458
Terry Mclaurin,259.71098239762523
Brandon Aiyuk,224.94804783662178
Dk Metcalf,233.58932916264817
Mike Evans,246.17585183448003
Tee Higgins,225.9940988413398
Chris Godwin,230.53610346639206
Michael Pittman Jr.,211.30853596790664
Garrett Wilson,243.6350275564758
Jerry Jeudy,214.44733371371495
Cooper Kupp,425.177439423054
DJ Moore,198.7083943134088
Chris Olave,228.30352341653307
Zay Jones,187.24868388643543
Juju Smith-Schuester,206.23266093172825
Diontae Johnson,200.2892630572909
Jakobi Meyers,179.12873521191793
Adam Thielen,163.0366321213667
Drake London,193.08711481083552
Mike Williams,251.04790048371603
Curtis Samuel,155.52970631913186
Tyler Boyd,168.78663511527952
Allen Lazard,175.4345352886847
Gabe Davis,183.07844204885646
Joshua Palmer,173.3240272890202
Deebo Samuel,182.08239141357797
Donovan Peoples-Jones,184.85207929834235
George Pickens,176.50643398394365
Christian Watson,139.0497846731467
Keenan Allen,169.02936487520608
Courtland Sutton,184.05401783776713
Marquise Brown,226.32779176063184
K.J. Osborn,147.40001974843656
Mack Hollins,156.12809492585654
DeAndre Hopkins,161.76864760543302
Parris Campbell,144.00271387895737
Brandin Cooks,156.68232551112717
Michael Thomas,379.3177548649777
Calvin Ridley,299.23491543944516
Jahan Dotson,117.14139625632438
Treylon Burks,101.49349810725596
Odell Beckham Jr.,122.50863197006466
Rondale Moore,104.30891555186123
Romeo Doubs,98.55783693444619